hand,score
22446679,347
35556678,347
11267789,347
34444568,347
13555689,347
13333679,347
34444557,346
11122268,346
11222579,346
12224458,346
14455558,346
12223378,346
11555789,346
14445589,346
44555677,346
12244447,346
23344489,346
12223558,346
33444459,346
33334479,346
33344589,346
12223477,346
22333347,346
12224557,346
12233389,346
12235555,346
11555579,346
11266789,345
11222444,345
23446689,345
23356689,345
13556789,345
11466789,345
14456789,345
33456689,345
44455577,345
44555679,344
14445789,344
44456778,344
14557789,344
24446677,344
24446779,344
23347789,344
13555578,344
22333346,344
44555667,344
34455789,344
12223578,344
23444478,344
34444556,344
33334466,344
11555569,344
33334469,344
11112267,344
22334589,344
23444589,344
11555566,344
11555689,344
11222367,344
11222566,344
12223368,344
11222569,344
12244446,344
12557789,344
12224556,344
23455557,344
22444669,344
23334789,344
12223479,344
22446778,344
12244789,344
22455567,344
22444778,343
22333344,343
23334444,343
11222558,343
11115559,343
44455579,343
12223335,343
12224455,343
11225555,343
11222477,343
11155589,343
33334445,343
11155559,343
13335555,343
11122259,343
22456779,342
34455689,342
12223568,342
35566779,342
13333678,342
14445689,342
13555568,342
24446679,342
11556789,342
23334689,342
12444467,342
25566778,342
12223466,342
12244689,342
12266779,342
11367789,342
23457789,342
12223469,342
23444468,342
45566778,342
44456678,342
23333467,342
22456677,342
22446678,342
44566779,342
23455556,342
12223449,341
12224457,341
44455566,341
33334478,341
23334489,341
33334577,341
14444559,341
23333559,341
33334559,341
14444577,341
44455677,341
44455569,341
11222578,341
33444458,341
12223359,341
23333577,341
23344449,341
13333779,341
12223557,341
13355589,341
13355559,341
11222479,341
22333677,341
11555578,341
23445555,341
14455557,341
22444555,340
11366789,340
23346689,340
14556689,340
12446789,340
12556689,340
22456679,340
14455556,339
12245589,339
14457789,339
15556677,339
23444459,339
22355567,339
22333679,339
22444668,339
12224456,339
33334468,339
13557789,339
12223556,339
12444789,339
11115677,339
34446779,339
34446677,339
11555568,339
23355789,339
22336677,339
22336779,339
11222466,339
23333579,339
11222469,339
33334579,339
11222568,339
12455559,339
12455589,339
44455667,339
24446778,339
44555678,339
15556779,339
14444579,339
44455679,339
33455789,339
12223478,339
22333667,339
23456689,338
44555779,338
23333444,338
11122249,338
11112277,338
11122258,338
12223334,338
11222557,338
11155558,338
33444455,338
11222449,338
22455577,338
11115558,338
44455578,338
11222377,338
11115667,337
11115679,337
22336679,337
12266778,337
33334569,337
44566778,337
13333669,337
33334566,337
34446679,337
